"Appmerce","Appmerce"
"Enable or disable main image zoom.","Enable or disable main image zoom."
"Extension by <a href=""http://www.appmerce.com/"" title=""Applications for Ecommerce"" style=""color: #EA7601"">Appmerce</a> | <a href=""http://www.appmerce.com/get-support"" title=""Get support for this extension"" style=""color: #EA7601"">Get Support</a>","Extension by <a href=""http://www.appmerce.com/"" title=""Applications for Ecommerce"" style=""color: #EA7601"">Appmerce</a> | <a href=""http://www.appmerce.com/get-support"" title=""Get support for this extension"" style=""color: #EA7601"">Get Support</a>"
"FancyBox height","FancyBox height"
"FancyBox width","FancyBox width"
"FancyZoom","FancyZoom"
"Image height","Image height"
"Image width","Image width"
"Minimum is 3. Images are resized automatically.","Minimum is 3. Images are resized automatically."
"More image height","More image height"
"More image width","More image width"
"Number of gallery items","Number of gallery items"
"Settings","Settings"
"Show a gallery of images below the popup image?","Show a gallery of images below the popup image?"
"Show gallery","Show gallery"
"Zoom main image","Zoom main image"
